"seqfile","p_value"
"142_PARP1.fasta",0
"2177_FANCD2.fasta",0
"2956_MSH6.fasta",0
"4361_MRE11.fasta",0
"4436_MSH2.fasta",0
"672_BRCA1.fasta",0
"7507_XPA.fasta",0
"7515_XRCC1.fasta",0
"8930_MBD4.fasta",0
"7518_XRCC4.fasta",3.66712124140229e-274
"4437_MSH3.fasta",1.17116005528756e-180
"2067_ERCC1.fasta",1.66004944806584e-104
"7157_TP53.fasta",3.05967550867565e-72
"4968_OGG1.fasta",1.39066021028716e-39
"5893_RAD52.fasta",1.95909219183251e-39
"79661_NEIL1.fasta",2.52426818860102e-20
"328_APEX1.fasta",4.42204896475734e-14
"5888_RAD51.fasta",0.526743846691743
"4595_MUTYH.fasta",0.705011231814973
"3981_LIG4.fasta",1
