"seqfile","p_value"
"1213_CLTC.fasta",0
"3251_HPRT1.fasta",0
"60_ACTB.fasta",0
"6155_RPL27.fasta",0
"7037_TFRC.fasta",0
"7316_UBC.fasta",0
"7534_YWHAZ.fasta",0
"509_ATP5F1C.fasta",3.74351301297602e-207
"2990_GUSB.fasta",8.98850668652419e-197
"498_ATP5F1A.fasta",6.23646165464656e-83
"513_ATP5F1D.fasta",1.4436242646853e-52
"567_B2M.fasta",2.44150646800152e-33
"514_ATP5F1E.fasta",1.15158194016789e-14
"5478_PPIA.fasta",5.19988050197435e-05
"6389_SDHA.fasta",0.00778012836479884
"11079_RER1.fasta",1
"23521_RPL13A.fasta",1
"5230_PGK1.fasta",1
"6175_RPLP0.fasta",1
"6908_TBP.fasta",1
