"seqfile","p_value"
"60_ACTB.fasta",0
"7534_YWHAZ.fasta",0
"5230_PGK1.fasta",1.55344356264057e-185
"509_ATP5F1C.fasta",5.16224093579391e-158
"498_ATP5F1A.fasta",2.25688164935431e-50
"2990_GUSB.fasta",1.12997873210087e-34
"513_ATP5F1D.fasta",1.18822155424025e-16
"514_ATP5F1E.fasta",5.11958019974763e-15
"3251_HPRT1.fasta",1.09087615047464e-14
"7037_TFRC.fasta",1.33820722037461e-11
"1213_CLTC.fasta",3.48846657968584e-07
"5478_PPIA.fasta",0.000318910197836425
"7316_UBC.fasta",0.000754131043802346
"6908_TBP.fasta",0.00174621054621951
"6389_SDHA.fasta",0.0405574476052042
"11079_RER1.fasta",0.0949114185334989
"23521_RPL13A.fasta",0.0979724989473813
"6155_RPL27.fasta",0.195432324996015
"567_B2M.fasta",0.509959202005469
"6175_RPLP0.fasta",1
